"id","name","region","country","latitude","longitude","ranking","ranking_out_of","rating","num_reviews","photo_count","amenities","brand","awards","price_level"
1015046,"Sofitel Dubai The Palm","Emirate of Dubai","United Arab Emirates",25.139769,55.131283,80,982,4.5,13293,11563,"Beachfront,Restaurant,Bar/Lounge,Beach Access,Room service,Spa,Wheelchair access,Non-smoking rooms,Internet,Kids Activities,Free Internet,Free parking,Wifi,Free Wifi,Meeting rooms,Pool,Shuttle Bus Service,Suites,Airport transportation,Paid Internet,Dry Cleaning,Hot Tub,Tennis Court,Business center,Fitness center,Laundry Service,Concierge,Banquet Room,Air conditioning,Family Rooms,Multilingual Staff,Smoking rooms available,Accessible rooms,Minibar,Conference Facilities,Babysitting,Safe,Heated pool,Flatscreen TV,Breakfast Buffet,Poolside Bar,Private Balcony,Butler Service,Outdoor pool,Private Beaches,Breakfast Available,Parking,Free Shuttle or Taxi Services,Facilities for Disabled Guests,Housekeeping,Kids Club,Sauna,Additional Bathroom,Aerobics,Afrikaans,Allergy-free Room,Arabic,ATM On Site,Baggage Storage,Bath / Shower,Bathrobes,Bicycle Rental,Billiards,Blackout Curtains,Bottled Water,Breakfast in the Room,Car Hire,Children's Television Networks,Coffee Shop,Coffee / Tea Maker,Complimentary Tea,Convenience Store,Currency Exchange,Desk,Doorperson,English,Entertainment Staff,Facial Treatments,Filipino,Fitness Classes,Fitness / Spa Locker Rooms,Foot Massage,Complimentary Instant Cofffee,Complimentary Toiletries,French,24-Hour Front Desk,Full Body Massage,German,Gift Shop,Greek,Hair Dryer,Hammam,Head Massage,Hindi,Indonesian,Indoor Play Area for Children,Interconnected room(s) available,Iron,Ironing Service,Kids' Meals,Kid-Friendly Buffet,Kids' Outdoor Play Equipment,Laptop Safe,Massage,Newspaper,Pool / Beach Towels,Pool with View,Private Check-in / Check-out,Romanian,Russian,Salon,24-Hour Security,Shoeshine,Shops,Snack Bar,Soundproof Rooms,Spanish,Special Diet Menus,Steam Room,Sun Loungers / Beach Chairs,Sun Umbrellas,Table Tennis,Taxi Service,Telephone,Thai,Turkish,Valet Parking,VIP Room Facilities,Wake Up Service / Alarm Clock,Public Wifi,Kids pool,Azerbaijani,Bidet,Body Wrap,Cable / Satellite TV,Children's Playground,Couples Massage,Electric Kettle,Executive Lounge Access,First Aid Kit,Complimentary Welcome Drink,Georgian,Hand Massage,Happy Hour,Highchairs Available,iPod Docking Station,Landmark View,Makeup Services,Manicure,Neck Massage,Nepali,Outdoor Dining Area,Pedicure,Personal Trainer,Plunge Pool,Pool View,Private Bathrooms,Radio,Serbian,Sinhala,Sofa,Sofa Bed,Strollers,Sun Deck,Swahili,Tennis Court Off-site,Umbrella,Urdu,Walk-in Shower,Wardrobe / Closet,Water Park Off-site,Waterslide,Water Sport Equipment Rentals,Waxing Services,Photo Copier / Fax In Business Center,Yoga Classes","Sofitel","Travelers Choice 2022","$$$$"
10152051,"Jumeirah Al Naseem","Emirate of Dubai","United Arab Emirates",25.13197,55.184113,234,982,4.5,3243,1857,"Pool,Internet,Kids Activities,Beachfront,Shuttle Bus Service,Suites,Room service,Free Internet,Free parking,Wheelchair access,Restaurant,Bar/Lounge,Spa,Airport transportation,Wifi,Public Wifi,Free Wifi,Dry Cleaning,Meeting rooms,Hot Tub,Non-smoking rooms,Business center,Fitness center,Laundry Service,Concierge,Banquet Room,Air conditioning,Family Rooms,Multilingual Staff,Smoking rooms available,Accessible rooms,Refrigerator in room,Minibar,Conference Facilities,Babysitting,Safe,Swimup Bar,Flatscreen TV,Rooftop Terrace,Water Park,Breakfast Buffet,Poolside Bar,Private Balcony,Butler Service,Adult pool,Outdoor pool,Private Beaches,Breakfast Available,Parking,Free Shuttle or Taxi Services,Facilities for Disabled Guests,Housekeeping,Kids Club,Sauna,Additional Bathroom,Aerobics,Arabic,Breakfast in the Room,Car Hire,Currency Exchange,Doorperson,Facial Treatments,Filipino,Fitness Classes,Fitness / Spa Locker Rooms,Head Massage,Hindi,Ironing Service,Pool / Beach Towels,Pool with View,Russian,Salon,24-Hour Security,Shoeshine,Steam Room,Sun Loungers / Beach Chairs,Sun Umbrellas,Table Tennis,Taxi Service,Valet Parking,VIP Room Facilities,Kids pool,Executive Lounge Access,Beach Access","Jumeirah","Travelers Choice Best of the Best 2023,Travelers Choice 2023,Travelers Choice 2022","$$$$"
1016545,"Xclusive Hotel Apartments","Emirate of Dubai","United Arab Emirates",25.250477,55.29657,365,982,4.0,536,279,"Pool,Internet,Free Internet,Free parking,Kitchenette,Wifi,Free Wifi,Fitness center,Suites,Wheelchair access,Airport transportation,Non-smoking rooms,Laundry Service,Concierge,Air conditioning,Self-Serve Laundry,Smoking rooms available,Microwave,Refrigerator in room,Safe,Rooftop Pool,Flatscreen TV,Outdoor pool,Filipino,Hindi,Kitchenware,Room service,Public Wifi,Dry Cleaning,Family Rooms","","Travelers Choice 2023,Travelers Choice 2022","$$"
1016546,"Copthorne Hotel Dubai","Emirate of Dubai","United Arab Emirates",25.25468,55.327778,229,982,4.5,2203,821,"Room service,Suites,Free parking,Wifi,Pool,Internet,Shuttle Bus Service,Free Internet,Restaurant,Bar/Lounge,Airport transportation,Public Wifi,Paid Wifi,Paid Internet,Dry Cleaning,Meeting rooms,Hot Tub,Non-smoking rooms,Business center,Fitness center,Laundry Service,Concierge,Banquet Room,Air conditioning,Family Rooms,Multilingual Staff,Smoking rooms available,Accessible rooms,Refrigerator in room,Minibar,Conference Facilities,Non-smoking hotel,Safe,Flatscreen TV,Breakfast Buffet,Private Balcony,Outdoor pool,Parking,Facilities for Disabled Guests,Kids Stay Free,Allergy-free Room,Arabic,Baggage Storage,Blackout Curtains,Breakfast in the Room,Car Hire,24-Hour Check-in,Currency Exchange,English,Filipino,Fitness / Spa Locker Rooms,Complimentary Instant Cofffee,24-Hour Front Desk,Hindi,Ironing Service,Kid-Friendly Buffet,Massage,Newspaper,Russian,Salon,24-Hour Security,Shoeshine,Steam Room,Taxi Service,Valet Parking,VIP Room Facilities,Breakfast Available","","Travelers Choice 2023","$$"
1017752,"Lindos Blu Luxury Hotel & Suites","South Aegean","Dodecanese",36.101707,28.072063,1,32,5.0,2006,1906,"Internet,Free Internet,Free parking,Wifi,Free Wifi,Hot Tub,Pool,Beachfront,Suites,Room service,Restaurant,Fitness center,Bar/Lounge,Spa,Airport transportation,Public Wifi,Breakfast included,Dry Cleaning,Meeting rooms,Non-smoking rooms,Laundry Service,Concierge,Air conditioning,Multilingual Staff,Accessible rooms,Refrigerator in room,Minibar,Safe,Rooftop Bar,Heated pool,Flatscreen TV,Rooftop Terrace,Breakfast Buffet,Poolside Bar,Private Balcony,Indoor pool,Infinity Pool,Adult pool,Outdoor pool,Private Beaches,Private Pools,Breakfast Available,Parking,Facilities for Disabled Guests,Housekeeping,Sauna,Adults Only,Allergy-free Room,Baggage Storage,Bathrobes,Blackout Curtains,Bottled Water,Breakfast in the Room,24-Hour Check-in,Coffee / Tea Maker,Couples Massage,Doorperson,English,Evening Entertainment,Facial Treatments,Fitness / Spa Locker Rooms,Foot Massage,Free Private Parking Nearby,Complimentary Toiletries,French,24-Hour Front Desk,Full Body Massage,German,Gift Shop,Greek,Hair Dryer,Ironing Service,Laptop Safe,Massage,Pool / Beach Towels,Pool with View,Private Check-in / Check-out,Salon,Soundproof Rooms,Special Diet Menus,Steam Room,Sun Loungers / Beach Chairs,Sun Terrace,Sun Umbrellas,Taxi Service,Telephone,VIP Room Facilities,Wake Up Service / Alarm Clock,Wine / Champagne,Additional Bathroom,Bicycle Rental,Boating,Cable / Satellite TV,Car Hire,Clothes Rack,Diving,Extra Long Beds,First Aid Kit,Foot Bath,Complimentary Welcome Drink,Hand Massage,Head Massage,Italian,Latvian,Manicure,Neck Massage,Outdoor Dining Area,Pedicure,Radio,Slovak,Sofa,Sun Deck,Tile / Marble Floor,Umbrella,Walk-in Shower,Wardrobe / Closet,Waxing Services,Whirlpool Bathtub,Yoga Classes,Beach Access","","Travelers Choice Best of the Best 2023,Travelers Choice Best of the Best 2022,Travelers Choice 2023,Travelers Choice 2022","$$$$"
1020535,"Star Metro Deira Hotel","Emirate of Dubai","United Arab Emirates",25.27066,55.32256,52,982,4.5,1218,438,"Pool,Internet,Room service,Free Internet,Free parking,Restaurant,Wifi,Free Wifi,Fitness center,Suites,Wheelchair access,Kitchenette,Spa,Airport transportation,Dry Cleaning,Meeting rooms,Non-smoking rooms,Business center,Laundry Service,Concierge,Air conditioning,Family Rooms,Smoking rooms available,Microwave,Refrigerator in room,Babysitting,Safe,Rooftop Pool,Flatscreen TV,Breakfast Buffet,Outdoor pool,Kids Stay Free,Arabic,Blackout Curtains,Doorperson,Filipino,Hindi,Ironing Service,24-Hour Security,Taxi Service,Public Wifi","","Travelers Choice 2023","$$"
1022759,"Atlantis The Palm","Emirate of Dubai","United Arab Emirates",25.130457,55.11715,130,982,4.5,6551,7988,"Pool,Beachfront,Beach Access,Non-smoking rooms,Laundry Service,Suites,Free Internet,Free parking,Internet,Kids Activities,Shuttle Bus Service,Room service,Wheelchair access,Restaurant,Bar/Lounge,Spa,Airport transportation,Wifi,Public Wifi,Dry Cleaning,Meeting rooms,Hot Tub,Tennis Court,Business center,Fitness center,Concierge,Banquet Room,Air conditioning,Family Rooms,Multilingual Staff,Smoking rooms available,Refrigerator in room,Minibar,Conference Facilities,Babysitting,Safe,Heated pool,Flatscreen TV,Lazy River,Water Park,Breakfast Buffet,Poolside Bar,Private Balcony,Butler Service,Outdoor pool,Private Beaches,Breakfast Available,Parking,Free Shuttle or Taxi Services,Facilities for Disabled Guests,Housekeeping,Kids Club,Sauna,Additional Bathroom,Aerobics,Afrikaans,Allergy-free Room,Arabic,ATM On Site,Baggage Storage,Bath / Shower,Bathrobes,Billiards,Blackout Curtains,Board Games / Puzzles,Books, DVDs, Music for Children,Bottled Water,Bowling,Breakfast in the Room,Bridal Suite,Canoeing,Car Hire,24-Hour Check-in,Children's Television Networks,Chinese,Clothes Rack,Coffee Shop,Coffee / Tea Maker,Complimentary Tea,Convenience Store,Couples Massage,Currency Exchange,Desk,Diving,Doorperson,Dutch,English,Entertainment Staff,Evening Entertainment,Extra Long Beds,Facial Treatments,Filipino,Fitness Classes,Fitness / Spa Locker Rooms,Complimentary Instant Cofffee,Complimentary Toiletries,French,24-Hour Front Desk,Full Body Massage,Game Room,German,Gift Shop,Greek,Hair Dryer,Hammam,Head Massage,Hindi,Hungarian,Indonesian,Indoor Play Area for Children,Interconnected room(s) available,Iron,Ironing Service,Italian,Japanese,Kids' Meals,Kid-Friendly Buffet,Kids' Outdoor Play Equipment,Korean,Malay,Massage,Nightclub / DJ,Norwegian,Outdoor Furniture,Polish,Pool / Beach Towels,Pool with View,Private Check-in / Check-out,Russian,Salon,Seating Area,24-Hour Security,Secured Parking,Shoeshine,Shops,Snack Bar,Snorkeling,Spanish,Special Diet Menus,Steam Room,Street Parking,Sun Loungers / Beach Chairs,Sun Umbrellas,Swedish,Table Tennis,Taxi Service,Telephone,Thai,Turkish,Valet Parking,Vietnamese,VIP Room Facilities,Wake Up Service / Alarm Clock,Kids pool,Air Purifier,Bidet,Boating,Bosnian,Cable / Satellite TV,Express Check-in / Check-out,Children's Playground,Dining Area,Executive Lounge Access,Farsi,First Aid Kit,Foot Bath,Foot Massage,Complimentary Welcome Drink,Free Wifi in the Business Center,Free Wired Internet in the Business Center,Hand Massage,Happy Hour,Highchairs Available,Landmark View,Laptop Safe,Light Therapy,Manicure,Neck Massage,Nepali,On-Demand Movies,Outdoor Dining Area,Patio,Pedicure,Personal Trainer,Pool View,Private Bathrooms,Paid Private Parking Nearby,Radio,Separate Dining Area,Separate Living Room,Serbian,Shallow End,Sofa,Strollers,Sun Deck,Swahili,Swimming Pool Toys,Tennis Court Off-site,Ukrainian,Urdu,Video Game Console,Walk-in Shower,Wardrobe / Closet,Waterslide,Water Sport Equipment Rentals,Waxing Services,Photo Copier / Fax In Business Center,Yoga Classes","","","$$$$"
10238204,"Mia City Hotel","Turkish Aegean Coast","Turkiye",38.33207,27.135231,36,218,4.5,65,197,"Pool,Internet,Suites,Free Internet,Wifi,Free Wifi,Breakfast included,Dry Cleaning,Fitness center,Banquet Room,Multilingual Staff,Conference Facilities,Indoor pool,Housekeeping,Room service,Free parking,Restaurant,Bar/Lounge,Spa,Airport transportation,Meeting rooms,Non-smoking rooms,Business center,Laundry Service,Air conditioning,Smoking rooms available,Minibar,Babysitting,Non-smoking hotel,Safe,Breakfast Available,Parking,Sauna,Bath / Shower,24-Hour Check-in,Express Check-in / Check-out,Clothes Rack,Currency Exchange,English,Complimentary Toiletries,24-Hour Front Desk,Hair Dryer,Iron,Massage,Soundproof Rooms,Taxi Service,Telephone,Turkish,Valet Parking,Wake Up Service / Alarm Clock","","","$$"
1025733,"Four Points by Sheraton Sheikh Zayed Road, Dubai","Emirate of Dubai","United Arab Emirates",25.214006,55.276245,211,982,4.5,3466,2359,"Restaurant,Room service,Fitness center,Free parking,Suites,Internet,Free Internet,Wifi,Meeting rooms,Concierge,Wheelchair access,Spa,Airport transportation,Public Wifi,Breakfast included,Dry Cleaning,Hot Tub,Non-smoking rooms,Business center,Laundry Service,Banquet Room,Air conditioning,Family Rooms,Multilingual Staff,Smoking rooms available,Accessible rooms,Refrigerator in room,Minibar,Conference Facilities,Safe,Rooftop Bar,Rooftop Pool,Heated pool,Flatscreen TV,Rooftop Terrace,Breakfast Buffet,Poolside Bar,Private Balcony,Butler Service,Outdoor pool,Parking,Facilities for Disabled Guests,Housekeeping,Kids Stay Free,Sauna,Additional Bathroom,Allergy-free Room,Arabic,Baggage Storage,Blackout Curtains,Breakfast in the Room,Car Hire,Currency Exchange,Doorperson,English,Filipino,Fitness / Spa Locker Rooms,Complimentary Instant Cofffee,24-Hour Front Desk,Head Massage,Hindi,Interconnected room(s) available,Iron,Ironing Service,Kid-Friendly Buffet,Laptop Safe,Nightclub / DJ,Parking Garage,Pool / Beach Towels,Pool with View,Salon,24-Hour Security,Shoeshine,Soundproof Rooms,Special Diet Menus,Sun Terrace,Taxi Service,VIP Room Facilities,Breakfast Available","Four Points","Travelers Choice 2023,Travelers Choice 2022","$$$"
10259104,"City Seasons Towers","Emirate of Dubai","United Arab Emirates",25.252914,55.302773,79,982,4.5,2003,684,"Pool,Internet,Shuttle Bus Service,Suites,Room service,Free Internet,Free parking,Wheelchair access,Restaurant,Spa,Airport transportation,Wifi,Free Wifi,Breakfast included,Dry Cleaning,Meeting rooms,Non-smoking rooms,Business center,Fitness center,Laundry Service,Concierge,Banquet Room,Air conditioning,Family Rooms,Multilingual Staff,Self-Serve Laundry,Smoking rooms available,Refrigerator in room,Minibar,Conference Facilities,Babysitting,Safe,Rooftop Pool,Flatscreen TV,Breakfast Buffet,Outdoor pool,Facilities for Disabled Guests,Housekeeping,Kids Stay Free,Sauna,Additional Bathroom,Allergy-free Room,Arabic,Baggage Storage,Bath / Shower,Bathrobes,Blackout Curtains,Bottled Water,Car Hire,24-Hour Check-in,Coffee / Tea Maker,Currency Exchange,Desk,Doorperson,English,Extra Long Beds,Filipino,Fitness / Spa Locker Rooms,Complimentary Instant Cofffee,Complimentary Toiletries,24-Hour Front Desk,Gift Shop,Hair Dryer,Hindi,Interconnected room(s) available,Iron,Ironing Service,Massage,Newspaper,24-Hour Security,Shoeshine,Soundproof Rooms,Sun Loungers / Beach Chairs,Sun Umbrellas,Taxi Service,Telephone,VIP Room Facilities,Wake Up Service / Alarm Clock,Kids pool,Breakfast Available,Cable / Satellite TV,Express Check-in / Check-out,Clothes Rack,Electric Kettle,First Aid Kit,Landmark View,Private Bathrooms,Sun Deck,Urdu,Wardrobe / Closet,Photo Copier / Fax In Business Center","","","$$"
